ITERATION,QUESTION,RESPONSE,ANSWER,TOTAL INPUT,TOTAL OUTPUT
0,"Statement 1 | Q is an extension field of Z_2. Statement 2 | Every non-constant polynomial over a field has a zero in some extension field.
A) True, True
B) False, False
C) True, False
D) False, True

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once.",Final Answer = (A),(D),107,6
1,"Find all c in Z_3 such that Z_3[x]/(x^3 + cx^2 + 1) is a field.
A) 0
B) 2
C) 1
D) 3

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once.",Final Answer = (A),(B),100,6
2,"Statement 1 | Every maximal ideal is a prime ideal. Statement 2 | If I is a maximal ideal of a commutative ring R, then R/I is field.
A) True, True
B) False, False
C) True, False
D) False, True

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once.",Final Answer = (A),(B),108,6
3,"Statement 1 | Every quotient ring of every commutative ring is again a commutative ring. Statement 2 | An ideal N in a ring R with unity 1 is all of R if and only if 1 in N.
A) True, True
B) False, False
C) True, False
D) False, True

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once.",Final Answer = (A),(C),118,6
4,"Which of the following is the master gland of the endocrine system?
A) Adrenal
B) Pancreas
C) Pineal
D) Pituitary

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once.",Final Answer = (D),(D),82,6
5,"The dorsal roots of all spinal nerves contain
A) sensory neuronal processes.
B) sensory and autonomic neuronal processes.
C) motor neuronal processes.
D) motor and autonomic neuronal processes.

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once.",Final Answer = (A),(A),89,6
6,"A ""dished face"" profile is often associated with
A) a protruding mandible due to reactivation of the condylar cartilage by acromegaly.
B) a recessive maxilla due to failure of elongation of the cranial base.
C) an enlarged frontal bone due to hydrocephaly.
D) defective development of the maxillary air sinus.

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once.",Final Answer = (B),(B),123,6
7,"A patient has a fracture in which the radius is bent but not displaced, and the skin is intact. This type of fracture is known as which of the following?
A) Closed, greenstick
B) Complex, comminuted
C) Compound, transverse
D) Open, spiral

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once.",Final Answer = (A),(A),109,6
8,"The resolution of a telescope is a measure of its:
A) Ability to magnify distant objects
B) Ability to measure the angular separation of objects
C) Ability to measure the distance between objects
D) Light-collecting efficiency

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once.",Final Answer = (B),(B),96,6
9,"Besides large astronomical objects astrophysicists are also interested in small particles from space. Which one of these particles has the weakest interactions with other particles?
A) µ Muons
B) Antiparticles
C) ν Neutrinos
D) π Pions

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once.",Final Answer = (C),(C),101,6
10,"A Mars year is approximately how many Earth years long?
A) 1/2
B) 1
C) 2
D) 4

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once.",Final Answer = (C),(C),82,6
11,"The astronomical unit parsec (pc) plays a crucial role in astronomy. One parsec is equal to about 3.26 light-years. How is one parsec defined in astronomy?
A) Distance at which one astronomical unit measures one arcsecond from Earth.
B) Orbital distance of the solar system around the center of the Milky Way in one year.
C) Effective distance of the solar wind (i.e. the radius of the heliosphere).
D) Historical distance to the brightest star Sirius.

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once.",Final Answer = (A),(A),158,6
12,"The Private Sector Social Enterprise Model.
A) 1,2,4
B) 2,3,4
C) 1,2,3,4
D) 1,2,3

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once.",Final Answer = (B),(D),94,6
13,"Which of the following areas is not covered by the principles enshrined in the UN Global Compact?
A) Human rights
B) Labour
C) Commercial performance
D) Anti-corruption

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once.",Final Answer = (C),(C),87,6
