ITERATION,QUESTION,RESPONSE,ANSWER,TOTAL INPUT,TOTAL OUTPUT
0,"Statement 1 | Q is an extension field of Z_2. Statement 2 | Every non-constant polynomial over a field has a zero in some extension field.
A) True, True
B) False, False
C) True, False
D) False, True

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once."," Statement 1 is saying that Q (the field of rational numbers) is an extension field of Z_2 (the field with two elements). This statement is true because Z_2 can be considered as a subfield of Q by identifying 0 in Z_2 with 0 in Q and identifying 1 in Z_2 with 1 in Q. So, we have a subset {0, 1} in Q that forms a field isomorphic to Z_2.

Statement 2 is a well-known fact in field theory, which says that every non-constant polynomial over a field has a zero in some extension field. This is a consequence of the theorem that every field extension is normal and separable. In this case, since Q is a field, every non-constant polynomial over Q will have a zero in some extension field.

Therefore, both statements are true.

Final Answer = (A).",(D),174,194
1,"Find all c in Z_3 such that Z_3[x]/(x^3 + cx^2 + 1) is a field.
A) 0
B) 2
C) 1
D) 3

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once."," To find all c in Z_3 such that Z_3[x]/(x^3 + cx^2 + 1) is a field, we need to find c where x^3 + cx^2 + 1 is irreducible in Z_3[x]. This means checking if it has any roots in Z_3.

For c = 0, the polynomial becomes x^3 + x^2 + 1. Checking for roots:
- x = 0: not a root (as division would leave a non-zero remainder)
- x = 1: not a root (since 1^3 + 1^2 + 1 ≠ 0)
- x = 2: not a root (since 2^3 + 2^2 + 1 ≠ 0)

For c = 1, the polynomial becomes x^3 + x^2 + 1. Its roots have already been checked for c = 0, so no need to re-check.

For c = 2, the polynomial becomes x^3 + 2x^2 + 1. Checking for roots:
- x = 0: not a root (as division would leave a non-zero remainder)
- x = 1: not a root (since 1^3 + 2*1^2 + 1 ≠ 0)
- x = 2: not a root (since 2^3 + 2*2^2 + 1 = 1 + 8 + 1 ≠ 0)

For c = 3, the polynomial becomes x^3 + cx^2 + 1 becomes equivalent to the case c = 0 due to the -1 + 3 = 2 in Z_3.

Since the polynomial is irreducible for c = 0, 1, and 3, there are 3 possible values for c in Z_3. Therefore,

Final Answer = (A, B, C).",(B),167,437
2,"Statement 1 | Every maximal ideal is a prime ideal. Statement 2 | If I is a maximal ideal of a commutative ring R, then R/I is field.
A) True, True
B) False, False
C) True, False
D) False, True

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once."," A maximal ideal is an ideal that cannot be properly contained in any other ideal except the whole ring. A prime ideal is an ideal such that if it contains the product of two elements, it contains at least one of the factors. It is known that every maximal ideal is a prime ideal in a commutative ring.

Now, if I is a maximal ideal of a commutative ring R, then R/I is indeed a field. This is because for any non-zero element in R/I, its inverse must exist causing the quotient ring to become a field.

Hence, Final Answer = (A).",(B),176,129
3,"Statement 1 | Every quotient ring of every commutative ring is again a commutative ring. Statement 2 | An ideal N in a ring R with unity 1 is all of R if and only if 1 in N.
A) True, True
B) False, False
C) True, False
D) False, True

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once."," For Statement 1, we know that a quotient ring of a commutative ring is also a commutative ring. This is because the operations in the quotient ring are well-defined and inherited from the original ring. Therefore, Statement 1 is true.

For Statement 2, an ideal N in a ring R with unity 1 is equal to R (i.e., N = R) if and only if 1 is in N. This is indeed true. If 1 is in N, then for any element r in R, r * 1 is also in N, which means R is contained in N. Since N is an ideal, it is closed under subtraction and multiplication by elements of R; therefore, R is also contained in N, making N equal to R.

Thus, both statements are true.

Final Answer (A)",(C),188,185
4,"Which of the following is the master gland of the endocrine system?
A) Adrenal
B) Pancreas
C) Pineal
D) Pituitary

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once."," The master gland of the endocrine system is the pituitary gland, which controls other glands and regulates various bodily functions. Here's the breakdown:

1. The endocrine system consists of glands that produce hormones to regulate many functions in the body.
2. A master gland is responsible for controlling the other glands in the system.
3. The adrenal glands produce stress hormones, the pancreas helps regulate blood sugar levels, and the pineal gland is responsible for melatonin production.
4. However, the pituitary gland, located at the base of the brain, is the master gland as it controls and coordinates the functions of the other endocrine glands.

Final Answer = (D)",(D),158,172
5,"The dorsal roots of all spinal nerves contain
A) sensory neuronal processes.
B) sensory and autonomic neuronal processes.
C) motor neuronal processes.
D) motor and autonomic neuronal processes.

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once."," The dorsal roots of spinal nerves are responsible for carrying sensory information from the body to the spinal cord and brain. They are primarily composed of the axons of sensory neurons. So, the closest correct answer is:

Final Answer = (A) Sensory neuronal processes.",(A),167,65
6,"A ""dished face"" profile is often associated with
A) a protruding mandible due to reactivation of the condylar cartilage by acromegaly.
B) a recessive maxilla due to failure of elongation of the cranial base.
C) an enlarged frontal bone due to hydrocephaly.
D) defective development of the maxillary air sinus.

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once."," A ""dished face"" profile, also known as a retrognathic profile, is characterized by a recessed chin and jaw. This is typically caused by a underdevelopment of the maxilla or the upper jaw. Therefore, we can eliminate options A (protruding mandible), C (enlarged frontal bone), and D (defective development of the maxillary air sinus) as they don't match the description of a ""dished face"" profile.

So, the final answer is:

Final Answer = (B)",(B),210,120
7,"A patient has a fracture in which the radius is bent but not displaced, and the skin is intact. This type of fracture is known as which of the following?
A) Closed, greenstick
B) Complex, comminuted
C) Compound, transverse
D) Open, spiral

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once."," A fracture where the bone is bent but not displaced and the skin remains intact is known as an incomplete or greenstick fracture. This type of fracture usually occurs in children, whose bones are still growing and are relatively softer. 

Here, the radius bone is fractured but the skin is not broken or displaced, making it a closed fracture. Therefore, the correct answer is (A) Closed, greenstick.

Final Answer = (A).",(A),184,102
8,"The resolution of a telescope is a measure of its:
A) Ability to magnify distant objects
B) Ability to measure the angular separation of objects
C) Ability to measure the distance between objects
D) Light-collecting efficiency

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once."," The resolution of a telescope is its ability to distinguish fine details of separated objects, which is typically measured by its ability to measure the angular separation of objects. This is because the resolution allows us to discern two points as separate entities rather than a single, merged image. None of the other options provided describe this concept accurately.

Final Answer = (B).",(B),169,75
9,"Besides large astronomical objects astrophysicists are also interested in small particles from space. Which one of these particles has the weakest interactions with other particles?
A) µ Muons
B) Antiparticles
C) ν Neutrinos
D) π Pions

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once."," Neutrinos are known for their extremely weak interactions with other particles. In fact, they can pass through ordinary matter almost undisturbed due to their lack of electric charge and their minute mass. This property makes them incredibly challenging to detect in experiments.

So, between the given options:
- Muons (charged particles that are similar to electrons but heavier) have stronger interactions than neutrinos.
- Antiparticles, while having unique properties, interact similarly to their corresponding particles (e.g., an electron and a positron, its antiparticle, both interact via the electromagnetic force but will annihilate each other when they meet).
- Pions (short-lived particles formed from the combination of a quark and an antiquark) also interact more strongly than neutrinos.

Therefore, the answer is C) neutrinos. These elusive particles have the weakest interactions with other particles.

Final Answer = (C).",(C),178,206
10,"A Mars year is approximately how many Earth years long?
A) 1/2
B) 1
C) 2
D) 4

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once."," A Martian year is the time it takes for Mars to complete one orbit around the Sun. This is longer than an Earth year due to Mars' greater distance from the Sun. The current best estimate for a Martian year is about 1.88 Earth years, or approximately 687 Earth days.

However, to select the closest matching option from those provided:

Option A suggests a Martian year is half an Earth year, which is not correct.
Option B suggests a Martian year is equal to an Earth year, which is also not correct.
Option C suggests a Martian year is twice an Earth year, which is close but still not accurate.
Option D suggests a Martian year is four times an Earth year, which is clearly an overestimation.

Given the available options, the closest match would be option C, even though it's still an underestimation.

Final Answer = (C).",(C),149,200
11,"The astronomical unit parsec (pc) plays a crucial role in astronomy. One parsec is equal to about 3.26 light-years. How is one parsec defined in astronomy?
A) Distance at which one astronomical unit measures one arcsecond from Earth.
B) Orbital distance of the solar system around the center of the Milky Way in one year.
C) Effective distance of the solar wind (i.e. the radius of the heliosphere).
D) Historical distance to the brightest star Sirius.

End your answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A). Only do this once."," The parsec is defined as the distance at which one astronomical unit (the average distance from the Earth to the Sun, about 93 million miles or 150 million kilometers) would subtend an angle of one arcsecond. This is based on simple trigonometry. 

Imagine a right-angled triangle where the angle at the vertex adjacent to the short side (the astronomical unit) is very small - one arcsecond, in fact. The long side of the triangle (the parsec) is the distance to the star, and the hypotenuse is the line of sight from the Earth to the star. Because the angle is so small, the length of the hypotenuse is very close to the length of the other two sides. So if we measure the angle and the astronomical unit, we can calculate the parsec.

Final Answer = (A).",(A),238,190
